symbol;available_exchanges;currency_base;currency_quote
0xBTC/BTC;"[""Hotbit"",""Mercatox""]";0xBitcoin;Bitcoin
0xBTC/ETH;"[""Hotbit"",""Mercatox""]";0xBitcoin;Ethereum
0xBTC/USD;"[""Synthetic""]";0xBitcoin;US Dollar
1INCH/BTC;"[""Binance""]";1inch;Bitcoin
1INCH/USD;"[""Binance"",""Huobi""]";1inch;US Dollar
1ST/ETH;"[""HitBTC""]";FirstBlood;Ethereum
1ST/USD;"[""Synthetic""]";FirstBlood;US Dollar
2GIVE/USD;"[""Synthetic""]";2GIVE;US Dollar
300/USD;"[""Synthetic""]";300 Token;US Dollar
611/USD;"[""Synthetic""]";SixEleven;US Dollar
808/USD;"[""Synthetic""]";808Coin;US Dollar
888/BTC;"[""YoBit""]";OctoCoin;Bitcoin
888/USD;"[""Synthetic""]";OctoCoin;US Dollar
8BIT/USD;"[""Synthetic""]";8Bit;US Dollar
999/ETH;"[""EtherFlyer""]";999;Ethereum
999/USD;"[""Synthetic""]";999;US Dollar
AAC/BTC;"[""CoinTiger""]";Acute Angle Cloud;Bitcoin
AAC/USD;"[""OKEx""]";Acute Angle Cloud;US Dollar
AAVE/BTC;"[""Bibox"",""Binance"",""HitBTC""]";Aave;Bitcoin
AAVE/ETH;"[""Bibox"",""Binance"",""Gate.io"",""HitBTC""]";Aave;Ethereum
AAVE/EUR;"[""Coinbase Pro"",""Kraken""]";Aave;Euro
AAVE/TRY;"[""Paribu""]";Aave;Turkish Lira
AAVE/USD;"[""Gate.io""]";Aave;US Dollar
ABBC/BTC;"[""BitForex"",""Bit-Z"",""Coinbene"",""TOPBTC""]";ABBC Coin;Bitcoin
ABBC/ETH;"[""Bit-Z""]";ABBC Coin;Ethereum
ABBC/USD;"[""BitForex"",""DragonEX""]";ABBC Coin;US Dollar
ABN/USD;"[""Synthetic""]";Abncoin;US Dollar
ABT/BTC;"[""OKEx""]";Arcblock;Bitcoin
ABT/ETH;"[""Coinbene"",""OKEx""]";Arcblock;Ethereum
ABT/USD;"[""OKEx"",""Synthetic""]";Arcblock;US Dollar
ABY/USD;"[""Synthetic""]";ArtByte;US Dollar
ACAT/BTC;"[""Hotbit"",""Kucoin""]";Alphacat;Bitcoin
ACAT/ETH;"[""Hotbit"",""Kucoin""]";Alphacat;Ethereum
ACAT/USD;"[""Synthetic""]";Alphacat;US Dollar
ACC/USD;"[""Synthetic""]";AdCoin;US Dollar
ACES/USD;"[""Synthetic""]";Aces;US Dollar
ACN/USD;"[""Synthetic""]";Avoncoin;US Dollar
ACOIN/BTC;"[""YoBit""]";Acoin;Bitcoin
ACOIN/USD;"[""Synthetic""]";Acoin;US Dollar
ACP/USD;"[""Synthetic""]";AnarchistsPrime;US Dollar
ACT/BTC;"[""COINEGG"",""Huobi"",""Kucoin"",""OKEx""]";Achain;Bitcoin
ACT/ETH;"[""Huobi"",""Kucoin""]";Achain;Ethereum
ACT/USD;"[""OKEx""]";Achain;US Dollar
AC/USD;"[""Synthetic""]";AsiaCoin;US Dollar
ADA/AUD;"[""Synthetic""]";Cardano;Australian Dollar
ADA/BNB;"[""Binance""]";Cardano;Binance Coin
ADA/BRL;"[""Binance"",""NovaDAX""]";Cardano;Brazil Real
ADA/BTC;"[""Binance"",""Bittrex"",""HitBTC"",""Huobi"",""Kraken""]";Cardano;Bitcoin
ADA/CAD;"[""Synthetic""]";Cardano;Canadian Dollar
ADA/CNY;"[""Synthetic""]";Cardano;Chinese Yuan
ADA/ETH;"[""Binance"",""Bittrex"",""HitBTC"",""Huobi""]";Cardano;Ethereum
ADA/EUR;"[""Kraken"",""Synthetic""]";Cardano;Euro
ADA/HKD;"[""Synthetic""]";Cardano;Hong Kong Dollar
ADA/ILS;"[""Synthetic""]";Cardano;Israeli Shekel
ADA/INR;"[""Synthetic""]";Cardano;Indian Rupee
ADA/KRW;"[""Upbit""]";Cardano;Korean Won
ADA/MXN;"[""Synthetic""]";Cardano;Mexican Peso
ADA/MYR;"[""Synthetic""]";Cardano;Malaysian Ringgit
ADA/PLN;"[""Synthetic""]";Cardano;Polish Zloty
ADA/RUB;"[""Synthetic""]";Cardano;Russian Ruble
ADA/SAR;"[""Synthetic""]";Cardano;Saudi Riyal
ADA/SEK;"[""Synthetic""]";Cardano;Swedish Krona
ADA/THB;"[""Bitkub""]";Cardano;Thai Baht
ADA/TRY;"[""Binance"",""BTCTurk"",""Koineks"",""Paribu"",""Synthetic""]";Cardano;Turkish Lira
ADA/USD;"[""Binance"",""Dcoin"",""HitBTC"",""Huobi"",""Synthetic""]";Cardano;US Dollar
ADA/VND;"[""Synthetic""]";Cardano;Vietnamese Dong
ADA/ZAR;"[""Synthetic""]";Cardano;South African Rand
ADC/BTC;"[""YoBit""]";AudioCoin;Bitcoin
